Row,cCD_PC1,cCD_PC2,cCD_PC3,cCD_PC4,cCD_PC5,cCD_PC6,cCD_PC7,cCD_PC8,cCD_PC9,cCD_PC10,cCD_PC11,cCD_PC12,cCD_PC13,cCD_PC14,cCD_PC15,cCD_PC16
ADGRG4,0.009674533,0.010341345,0.011336716,-0.040023394,-0.015113744,-0.0152396,0.027221734,-0.022767818,0.005553047,-0.009643973,-0.024748257,0.00389952,0.002768437,0.013315232,0.018625026,0.004512959
ADGRG6,-0.024104886,-0.005760272,-0.010009648,-0.024601549,-0.007351909,-0.016007573,-0.033152422,0.014710837,0.005579256,0.000163451,0.021139566,0.024374509,0.00636883,-0.014906916,-0.021805196,-0.011710648
ADH1C,-0.002885713,0.019668393,-0.001644693,-0.001762892,0.015273653,0.018643792,-0.009723371,-0.011127115,0.002024066,0.033461507,0.041282316,0.010965134,-0.014402017,-0.021938369,0.029769554,-0.018610769
ADH4,-0.007200692,0.033316734,0.014803675,-0.023695193,0.008283471,-0.007285843,0.001599058,-0.00835839,0.001535985,-0.008346993,0.022034571,0.019348454,0.00729925,0.003876949,0.006839599,-0.030033071
ADH7,-0.011650473,0.024832152,0.024999931,0.004736938,0.013310197,0.017684824,0.00142842,0.022866008,0.02223331,-0.006190758,-0.021121907,-0.000916533,0.014349291,0.001194655,0.007280891,0.030048345
ADIPOQ,-0.00174215,0.027274268,-0.006723179,0.014594007,-0.010874454,-0.026886665,-0.024949983,-0.040432284,-0.006346048,-0.026963117,-0.017847895,-0.018570678,-0.004614562,-0.006308819,-0.006771156,0.007181592
ADIPOR2,0.007104433,0.016178195,-0.021381209,-0.011573536,-0.012584062,0.025445669,-0.032391762,0.017311661,-0.016589248,-0.013270441,0.016584946,-0.02898008,0.013738876,0.002696251,-0.011949694,0.033462151
ADK,-0.006484213,-0.019943971,-0.010793173,0.026068346,-0.030488005,-0.028638096,-0.006615912,0.011078086,-0.007305334,-0.02275176,0.00050191,-0.016742822,0.024897214,0.024707222,-0.008725098,-0.002507142
ADPRM,0.004726215,0.027058868,-0.019215061,0.002378542,-0.004667422,-0.038644948,-0.018771102,-0.006923378,0.023924367,-0.005718059,-0.013238303,0.006277868,-0.015418256,-0.015334521,0.01014795,0.023658549
ADRB3,-0.009184895,-0.003320546,-0.000528623,-0.009231219,-0.00717774,0.010785061,0.03099817,-0.029451255,0.006595852,0.037969533,0.004699109,0.010008937,-0.001291198,-0.013275743,0.008042953,-0.014253077
ADTRP,0.021775854,-0.010223127,0.020491322,-0.024888146,-0.026101507,-0.004508418,0.023947667,0.002680808,0.011666015,-0.00705362,0.002245175,0.018511883,0.026154776,-0.011924679,0.017496817,0.005007822
AEBP2,3.79E-05,-0.013366957,0.004058538,0.020003842,0.048699443,0.012722018,0.005679213,-0.007894747,0.004742285,-0.002517401,-0.026438859,0.00784505,0.014603586,0.010117889,-0.036255813,-0.012123817
AFAP1L1,0.002962033,-0.006413565,-0.0385035,-0.02952514,0.004066113,0.000738511,-0.000817497,0.0117312,-0.015352417,-0.009332103,-0.012912968,0.020801447,0.00401092,-0.028162004,0.004204039,-0.01966869
AFF3,-0.021997067,0.029113874,-0.004364102,0.006226855,0.019347493,-0.021792689,0.010281178,-0.014743636,-0.026609862,-0.013576612,-0.000267925,0.002649099,-0.008188635,0.002766086,0.007472055,0.004923531
AGA,-0.007612347,-0.007567569,0.005231963,0.018506906,-0.028108812,-0.032626643,-0.0101516,-0.006840812,0.016796112,0.006814192,0.011017825,0.011315979,0.023262265,0.028639927,-0.005855509,-0.001959634
AGER,-0.014742855,0.025543313,0.010948444,0.001594678,-0.02271745,0.003996967,-0.016948997,-0.004463367,0.003133991,-0.011296,0.026004569,-0.01455473,0.003624166,0.020453625,0.036794762,0.000513317
AGL,0.004120781,0.013579705,0.002448239,0.027464975,-0.017225364,-0.014065306,0.01033448,-0.022434846,0.008646748,-0.005922291,0.038305622,-0.031579269,-0.014049486,-0.021793016,-0.040054363,0.014159029
AGMAT,0.025205287,-0.006092719,0.005545555,-0.000710256,-0.032811795,0.001095098,-0.007078387,-0.004775988,-0.03556478,-0.029866675,-0.005669035,0.013421285,-0.004943451,-0.002914723,0.023740984,-0.002757651
AGPAT2,0.03242365,0.00527074,-0.02426942,-0.014548055,-0.017801121,-0.011659449,0.003153278,0.010863533,0.005101054,-0.012215938,-0.014137749,0.008845139,-0.000865563,0.017339709,0.004537699,0.002052394
AGPAT4,-0.021691509,-0.008222426,0.008782335,-0.012179646,-0.01407251,-0.002623857,-0.024276916,0.003063583,0.039385535,-0.012579992,0.014894984,0.005203916,0.01663628,0.012864986,0.011641866,0.005193629
AGPAT5,0.030105956,-0.012765096,0.003271482,0.001818374,-0.013944797,0.008891413,0.017100742,-0.005560437,-0.018403625,-0.030611079,-0.016612573,0.015306039,-0.001253589,0.000292132,0.008209894,0.000781408
AGPS,0.016005098,-0.028312747,0.003630238,-0.019157876,0.014529277,0.021029431,0.009011888,-0.010825878,-0.007285103,-0.016525811,-0.007114075,0.010228487,-0.005796662,0.01079523,0.004732825,-0.024345946
AGR2,-0.01852228,0.021575607,0.026252639,0.016921274,-0.003434314,-0.027174131,-0.013371268,0.01205995,0.009490815,0.029095634,-0.010963913,-0.002118516,-0.006903537,0.00947812,0.02754715,0.000517836
AGR3,-0.030217286,-0.012129661,-0.011380128,0.010464062,-0.011024511,0.015888393,0.001136298,-0.006744764,0.014276154,0.018773465,-0.008912812,0.003402019,-0.006931147,-0.003822402,0.017199123,-0.027966991
AGRN,-0.0227664,0.025850139,-0.002014958,-0.022541429,0.02225747,-0.013554198,-0.004223919,0.012333765,0.00985073,0.001823085,0.018514433,-0.010981735,-0.007503374,-0.008194906,-0.021336431,-0.018032727
AGTR2,-0.008694705,0.0054315,0.009889516,-0.001860332,0.018799395,-0.029500112,0.012633487,0.044795912,1.62E-05,-0.019167835,-0.009925109,-0.014824377,0.02859585,-0.023700588,0.002260705,-0.017922661
AGXT2,-0.002309926,0.002356869,-0.033949597,-0.00172244,-0.031189257,-0.017411974,0.0119389,0.019795837,0.023441685,0.002962413,0.032169806,-0.002403317,-0.028580023,0.000170996,-0.005866964,-0.021717064
