NAME,DESCRIPTION,NI_V_1,NI_V_2,NI_V_3,NI_V_4,NI_V_5,NI_MKI_1,NI_MKI_2,NI_MKI_3,NI_MKI_4,NI_MKI_5
ENSMUSG00000068262,NA,5.41327886,0,0,5.521727988,2.270760018,0,0,4.093045376,1.849953569,2.773373256
ENSMUSG00000068263,NA,12.94734483,11.13069759,7.362537439,5.513717625,4.431921913,11.25090451,3.191724795,10.11244132,5.489080843,13.57774369
ENSMUSG00000068264,NA,176.107756,457.8257382,269.1209399,257.8991638,411.6657236,291.0038935,283.5261052,412.8953765,219.0302461,260.3718533
ENSMUSG00000068267,NA,2303.36762,3078.408212,2056.12782,2010.622444,2261.238021,2196.385105,2091.10979,2459.392501,2201.16606,2431.356334
ENSMUSG00000068270,NA,36.9605862,49.61216332,19.26476422,2.146202293,15.71452027,20.84285612,7.50127951,10.39890204,18.33898433,40.03208328
ENSMUSG00000068284,NA,659.0484486,603.1031495,563.2201743,141.6804209,449.6658685,616.8004283,210.9192542,595.1790191,295.4494377,977.5549378
ENSMUSG00000068290,NA,753.2145409,894.9067676,589.6376983,1107.351923,810.7207545,750.149908,947.2632883,926.5379498,966.1790833,849.0777565
ENSMUSG00000068299,NA,1471.471799,1683.086511,1486.72685,2202.317141,1999.394685,1510.163433,2200.474216,2657.098556,1656.962838,1490.295829
ENSMUSG00000068303,NA,10.02126162,1.975205331,4.344460627,1.82259444,0.950124326,3.612638575,1.828009472,10.10720371,2.360076259,2.301933401
ENSMUSG00000068323,NA,51.21792008,22.09137403,22.41089025,44.3123066,39.38443059,23.08159137,42.87363402,41.96413615,24.42597908,26.37222311
ENSMUSG00000068327,NA,12.44994609,14.70504193,5.319557293,4.356660438,4.31618723,5.279589087,0,10.98982724,4.512706052,6.696659628
ENSMUSG00000068328,NA,11.66693527,0,6.363513685,3.360264516,0,8.467648464,0,0,0,0
ENSMUSG00000068329,NA,234.5078328,179.3039375,216.2240667,420.6391078,291.1277482,178.9821437,363.2494927,252.9763948,392.0214735,145.4501055
ENSMUSG00000068335,NA,147.5961555,117.1355622,127.3473529,206.511535,125.910436,127.54742,176.5756645,111.709586,226.7346749,114.5849126
ENSMUSG00000068341,NA,0.756823912,2.988952723,1.978087051,0,4.421989891,0.858209721,0,2.852273247,6.440013586,2.663547031
ENSMUSG00000068349,NA,16.43753207,18.28498703,58.62234005,183.2622954,19.02175524,10.75402307,41.3393315,2.082669014,20.15504696,13.66502577
ENSMUSG00000068391,NA,199.663313,211.8181132,175.2915577,355.172536,237.9653545,155.7834957,236.3014143,205.8404411,316.7507124,141.4462296
ENSMUSG00000068394,NA,67.90527889,42.66104839,71.32519538,38.07701097,55.74757549,50.19618847,42.04156002,60.03225243,59.04799961,57.42966826
ENSMUSG00000068396,NA,145.9987909,100.480984,217.5881565,544.3123835,200.6769648,205.0805048,342.2409628,204.642592,501.7606352,141.450486
ENSMUSG00000068407,NA,3.867384406,0,1.045094142,8.928833292,0,3.503941891,4.330292485,0.993469293,6.780357438,1.811915756
ENSMUSG00000068417,NA,1135.811051,1034.759183,1232.926773,2716.806946,1291.00743,1126.01077,1865.304271,1294.70365,1989.909477,1401.173874
ENSMUSG00000068452,NA,1351.85006,1217.705465,3032.258957,1759.162893,1018.76069,2193.863657,1681.379636,1369.351381,1425.627141,2763.335979
ENSMUSG00000068457,NA,2.278301864,16.68139577,224.9075381,342.6299563,232.3556906,263.5189737,315.6606705,256.5977521,250.375763,5.956359034
ENSMUSG00000068479,NA,500.4333092,564.1848633,495.7571228,345.6028939,580.7051319,633.8230298,422.6075718,526.7846119,393.423507,586.4320838
ENSMUSG00000068480,NA,3.762474089,0,2.074313675,0,4.729594308,0,0,0,0,1.826572425
ENSMUSG00000068522,NA,8.396633089,8.197845897,1.070660211,9.977990664,8.06806998,3.437884976,3.280748544,1.032477202,6.430989349,3.668416726
ENSMUSG00000068523,NA,1161.695467,1239.054244,1432.874058,2309.537561,1306.583921,1012.350266,1633.535865,1291.672789,1522.876334,1195.905156
ENSMUSG00000068547,NA,7181.707025,13788.48153,22984.62253,20033.62326,24276.66702,14246.5579,15348.70426,22343.7983,6212.277086,15044.15319
ENSMUSG00000068551,NA,118.1104766,200.2415121,123.3504832,178.1987045,199.2459674,149.5656185,101.5199252,206.6678392,100.3977122,210.4546554
ENSMUSG00000068566,NA,802.8308866,1187.080866,816.2125741,349.9003963,592.9887207,912.3232516,498.4819444,688.0738432,548.5814064,1084.558813
ENSMUSG00000068579,NA,0,2.454939713,0,0,0,1.794833637,1.058313001,0,0.90691168,0.929560711
ENSMUSG00000068580,NA,315.4398099,289.721063,202.0702045,564.7795438,214.6063176,270.6040049,515.6821011,209.8562636,526.3236589,169.5350211
ENSMUSG00000068600,NA,3.041463558,3.4362551,16.66433459,79.50532872,1.131088699,4.415092625,7.521800839,0,9.156850256,1.848906723
