NAME,DESCRIPTION,I_V_1,I_V_2,I_V_3,I_V_4,I_V_5,I_V_6,I_MKI_1,I_MKI_2,I_MKI_3,I_MKI_4,I_MKI_5,I_MKI_6
ENSMUSG00000082894,NA,2.315288502,8.74644354,2.070615573,2.160953314,4.801953614,5.889535782,10.36197285,13.52387762,9.172692315,11.41255387,5.173869727,5.987323821
ENSMUSG00000082895,NA,0,14.56154516,9.378824535,7.908377405,9.035676829,5.931429365,11.09885276,13.51137183,3.605760153,0,3.456194769,10.97258712
ENSMUSG00000082896,NA,6.957051601,2.638518822,0,7.035549176,11.15677989,3.087473551,0.620251453,0.769302244,0,7.540258979,1.732825745,1.332120419
ENSMUSG00000082900,NA,7.06968953,7.459692215,6.297888753,2.649495417,8.838286979,12.06896303,4.804079057,3.628815434,7.070325246,9.541658176,5.122161541,6.571340661
ENSMUSG00000082901,NA,0,4.434446431,11.59284905,9.497288788,9.704237061,13.19240143,1.325476398,5.98501762,3.583794193,1.857271015,1.67964768,10.20070624
ENSMUSG00000082902,NA,6.995799298,3.17582758,0,7.531363567,1.647470452,16.00115795,5.421544924,9.325646204,7.240463614,0,5.127798615,4.04224414
ENSMUSG00000082905,NA,0,0,0,0.69276018,0,0.758138968,1.300681842,0,1.816369091,0,0,0
ENSMUSG00000082908,NA,245.2748712,205.2306255,247.8952666,238.4619817,284.4417881,420.3760968,336.2282363,518.200785,181.4090137,243.7133426,232.3600052,338.9302667
ENSMUSG00000082918,NA,2.31391388,0,5.207883751,0,0,0,0,0,0,0,0,0
ENSMUSG00000082920,NA,2.291210491,3.802556468,6.305075808,5.379080727,9.740811899,17.64850475,9.277798256,23.71148855,6.972086438,0,5.096867851,20.42499512
ENSMUSG00000082925,NA,0,0,4.954181998,2.13047831,6.722044808,1.481753541,0,0,0,0,0,2.606836097
ENSMUSG00000082926,NA,18.36213113,12.12667257,10.06114353,3.429420296,12.87647204,25.76550628,0,11.16382515,8.86412128,13.08110856,16.79808262,23.5745892
ENSMUSG00000082927,NA,2.348522792,2.503683289,1.040081679,5.306123053,3.902105657,6.750449797,3.412498282,1.799882059,0,1.897406186,3.432285839,1.969669543
ENSMUSG00000082931,NA,0,0,1.059678607,0.673487616,0.575568276,0,0,0,0,0,0,0
ENSMUSG00000082932,NA,0,0.657013865,1.013570307,0,0,0,0,0,0,0,0,0
ENSMUSG00000082935,NA,43.73290513,24.23558063,39.90774093,25.33526488,18.80907634,32.53450965,16.80321405,25.56615385,12.64607878,19.05459051,32.15944293,36.67856837
ENSMUSG00000082936,NA,0,1.274057562,1.040685527,0.675659178,0,0.755094277,0,0.847062051,0,0,0,0.671430031
ENSMUSG00000082938,NA,26.02511752,46.97504946,84.38979339,52.24062778,47.4882139,88.52858482,48.37905606,115.5548386,0,38.08192074,52.24794657,30.4597837
ENSMUSG00000082947,NA,0,1.301121245,0,0,0.590674138,0,0,0.784720158,0,0,1.725803902,1.360451382
ENSMUSG00000082954,NA,0,1.918043229,2.083153501,0,0,1.512144233,0.672456473,3.364940162,0,0,1.696058432,0
ENSMUSG00000082956,NA,44.0998891,84.87237747,98.10821849,76.67836354,65.64541252,25.43326641,39.8031896,8.754536435,49.23297056,22.86228621,25.8063357,48.88416645
ENSMUSG00000082961,NA,2.202944038,0,0,0,0,0.74092813,1.388184312,0.890674866,0,0,1.663477281,0
ENSMUSG00000082967,NA,0,0,0,0,0,0,0,0.829488063,0,1.916005757,0,0
ENSMUSG00000082969,NA,0,2.557737815,5.269019526,1.364084776,2.885627605,2.271571897,1.986467896,1.733075676,1.740749537,0,5.064746838,3.377302018
ENSMUSG00000082971,NA,0,0,0,0.688637438,0,0.744363085,0.666383249,0,0,0,1.715065513,0
ENSMUSG00000082976,NA,23.64085545,3.76619096,1.504909264,31.4312718,5.851855572,62.32024751,43.76441215,64.47812448,26.07850121,13.51690149,14.77646702,12.50974788
ENSMUSG00000082978,NA,0,2.537660838,5.221633107,5.9191852,1.6992755,9.620808084,3.483272624,6.291322253,5.40502057,0,1.718928751,12.27104063
ENSMUSG00000082981,NA,0,0,0,0,0,0,0.672456473,0.841235041,0,0,0,0
ENSMUSG00000082987,NA,0,0,0,0,0.576459906,2.276137969,0,1.688346014,0,0,0,0
ENSMUSG00000082990,NA,0,0,0,0.704790932,0,0,0,0.796892398,0,0,1.734739445,0.665086827
ENSMUSG00000082991,NA,0,0,0,0,0.583053257,0.75275269,0,0,0,0,0,0
ENSMUSG00000083004,NA,0,4.447080201,4.314621201,3.352981248,0.556164068,8.300033129,1.368767164,3.409895055,1.781173488,9.481533584,0,8.046129972
ENSMUSG00000083007,NA,2.161766505,0,0,0,1.089536348,3.784672758,5.671862959,1.900507511,5.117336241,0,0,1.346735372
ENSMUSG00000083009,NA,0,0,0,1.35875773,0.580493445,0,0,1.682470081,0,0,0,0
ENSMUSG00000083011,NA,6.899362187,2.546512466,0,2.708540881,2.892058932,0.76543777,4.008620247,3.398304112,0,0,0,2.008723857
ENSMUSG00000083012,NA,264.5781326,225.9529319,110.1369876,273.9756659,273.3729052,403.3281292,299.5121552,374.4505849,224.8752686,238.259454,251.1253598,334.8221273
ENSMUSG00000083013,NA,20.63077272,8.65960659,6.052790471,0,9.228513993,0,3.808164079,0,0,0,0,0
ENSMUSG00000083016,NA,0,0,0,0,0,0,0,0,0,0,1.70278319,2.663445666
ENSMUSG00000083017,NA,0,0.639347743,1.04157675,0,1.741480335,0,0,0,0,0,0,0
ENSMUSG00000083019,NA,1.862460776,0,0,0.541654387,1.3629847,7.722090827,1.354212145,1.53366803,1.424912132,0,0,4.832198328
ENSMUSG00000083020,NA,0,2.56294292,17.7452452,2.042561272,1.722326189,4.517779161,4.04349802,1.686122626,0,1.893352172,0,6.699527904
ENSMUSG00000083022,NA,0,1.918043229,17.70680475,16.30509277,3.48296067,41.58396641,21.51860712,64.77509812,12.57290194,15.11400574,37.3132855,42.78409678
ENSMUSG00000083027,NA,0,0,0,1.4129056,2.431420435,0.736859462,0,0,0,1.833671236,0,1.298091185
ENSMUSG00000083033,NA,2.3279106,0.635293981,4.220933535,2.670447949,2.270225164,7.379620239,6.815298643,12.3622603,5.369484071,7.614029815,6.86913852,5.206794495
ENSMUSG00000083043,NA,0,0,0,0,0,0,0.672456473,0,0,0,0,0.668501512
ENSMUSG00000083044,NA,39.59537431,20.59440118,13.58269685,23.78348132,32.82377792,44.48283041,17.93839689,22.99758792,17.57844444,9.462986563,15.36877606,17.79313508
ENSMUSG00000083049,NA,57.47494146,66.54384758,85.69161055,57.26707941,88.38917078,100.3197245,71.35120908,124.4786323,64.72770246,49.63160174,30.68702636,80.95442638
ENSMUSG00000083054,NA,0,1.311426929,1.018351035,0,1.21896458,0,0.639344378,0,0,0,0,1.335717911
ENSMUSG00000083061,NA,2045.49987,2508.800543,2375.836567,2201.187523,2592.483726,3685.095496,3026.054126,4555.287745,2234.384288,2229.315847,2284.590708,3446.793797
ENSMUSG00000083064,NA,0,0.654515092,0,0.711965601,1.205506582,0,1.278285369,0.792874497,0,0,0,2.009699533
ENSMUSG00000083072,NA,2.372154797,0,1.043443728,0.677987264,0,2.249985443,0.673935739,0,0,0,0,0.656099578
ENSMUSG00000083079,NA,5451.958801,0.650629248,0,0,39.69326696,0,0,0,1333.254848,0,983.8508269,368.6157712
ENSMUSG00000083083,NA,2.337625659,0.673755796,0,0,0,0.735769617,0.639387859,0,1.838325966,0,0,0.663048616
ENSMUSG00000083086,NA,0,1.278695486,0,0,0.580493445,0.756072117,0,2.523705122,0,0,0,2.005504537
ENSMUSG00000083087,NA,11.40014333,5.021263843,3.102597084,5.966357264,3.344435928,10.75544115,2.088217917,6.371581876,1.763206088,0,5.030912373,5.379748446
ENSMUSG00000083094,NA,0,0,0,0,0.579292992,0.756754174,0,0,0,0,0,1.33856613
ENSMUSG00000083097,NA,254.5305268,221.8536668,244.7705363,243.8970126,232.197378,469.5207844,464.6674225,697.3838486,240.6812657,292.8338612,196.7427781,457.9235359
ENSMUSG00000083100,NA,4.627827759,0,0,0,0,0.756072117,0.672456473,2.523705122,0,3.778501435,3.392116864,1.337003025
ENSMUSG00000083104,NA,0,0.631495739,0,0.654206421,0.56148729,0,1.374186515,0.894926107,0,0,0,0
