NAME	DESCRIPTION	I_V_1	I_V_2	I_V_3	I_V_4	I_V_5	I_MKI_1	I_MKI_2	I_MKI_3	I_MKI_4	I_MKI_5	I_MKI_6
ENSMUSG00000071713	NA	867.5665133	889.8217629	550.8801307	413.1943963	432.0601156	883.2871459	584.2268207	515.0007083	1044.688107	829.6622171	487.5902975
ENSMUSG00000071714	NA	366.068204	304.6305284	118.2325734	163.8361454	221.6798021	399.267287	293.3951721	228.5084983	462.7924541	400.7147828	222.5464899
ENSMUSG00000071715	NA	309.6437002	561.4011308	299.1404768	270.2317937	187.4788225	251.7813215	187.8058699	154.9385808	276.0974903	268.7008098	122.8584982
ENSMUSG00000071716	NA	35.2866623	29.50531954	52.59639803	56.30499136	49.04911009	43.17780271	54.65445659	43.58692522	47.65670776	39.0858394	38.75150341
ENSMUSG00000071719	NA	1.353098826	2.085855904	0	1.125642373	7.255294604	0	1.551474422	2.82791077	4.350350114	1.437447099	2.808715271
ENSMUSG00000071722	NA	5.488757023	1.800661893	5.987006046	3.996399636	3.923900047	5.379411247	9.518008379	8.347192808	5.875758314	1.533126626	7.681790746
ENSMUSG00000071723	NA	20.8274636	15.99392711	16.8556455	11.59568777	11.36603911	17.22056908	24.11106067	16.15152094	23.72092242	18.24789237	16.07162038
ENSMUSG00000071724	NA	4.15546184	19.67855306	13.13739197	15.30294636	5.166917668	13.23246001	9.145497359	6.340293609	3.475736729	11.05833723	5.828787732
ENSMUSG00000071748	NA	73.97666878	36.3662689	61.73561475	68.88884184	28.49789658	55.80548273	108.2863666	49.6804314	52.79499859	51.256965	74.39644752
ENSMUSG00000071757	NA	132.1572809	529.9312328	112.3147126	114.9177329	112.3680629	124.9564268	107.9317579	118.2587874	122.8643045	1285.82904	110.9930445
ENSMUSG00000071793	NA	103.8677133	66.80692687	148.133183	27.28238997	101.8181584	208.2705571	126.4162806	109.1795556	100.0594408	29.27981265	282.9773063
ENSMUSG00000071796	NA	882.6883736	1189.551641	1073.456082	950.4954791	1038.869773	1130.675573	758.3849813	815.3936354	948.6149345	1084.234622	1169.150172
ENSMUSG00000071847	NA	47.94479895	26.97237457	24.57897624	16.35223788	47.83336564	42.04101325	43.32364956	52.94199812	56.21297687	43.67989528	80.22345514
ENSMUSG00000071855	NA	36.16983759	36.19721015	25.73065312	28.39118434	32.87968798	24.1715191	29.68871997	27.15205186	28.93285187	35.8768997	25.27861233
ENSMUSG00000071856	NA	64.25855136	36.75854535	19.76503903	26.36945854	55.50771278	59.72661024	36.6794038	48.06959488	44.76646564	50.91464602	51.30839932
ENSMUSG00000071862	NA	0	1.826095715	1.992106026	0	0	1.577774686	0.84453178	4.454171483	1.160826381	0	3.000147662
ENSMUSG00000071866	NA	5386.382998	7657.297611	9095.124929	9490.160528	6051.601828	5387.804397	6427.773551	6083.68276	4989.437406	5369.437171	5886.334119
ENSMUSG00000071984	NA	252.8624574	25.07995076	81.38432489	22.15972436	190.2320225	157.7926439	59.18245616	158.5248706	151.4469868	70.67216894	96.56716535
ENSMUSG00000072082	NA	194.1889905	110.1261643	137.0804345	142.6440333	143.6541526	176.0646856	135.5973225	172.6090927	128.3161494	179.9094473	118.983019
ENSMUSG00000072115	NA	107.5052333	99.88087043	128.2400083	226.2410043	182.1850974	101.1072965	151.3397234	192.3392222	135.224524	110.8905134	189.2858607
ENSMUSG00000072214	NA	3235.871789	4304.554587	4876.174864	4652.020347	3230.580059	3216.616717	3228.840704	3006.297968	2679.039224	2754.966817	3030.376042
ENSMUSG00000072235	NA	688.6746504	932.3162321	715.1233987	915.4478996	920.635529	787.6455727	845.3614956	1059.10636	1029.021177	1119.62281	1112.348944
ENSMUSG00000072244	NA	8.542102725	15.97264593	6.86319883	14.73907663	6.819339252	2.304276311	0.779945809	2.784063003	9.628588504	5.638601221	6.954505479
ENSMUSG00000072255	NA	1.305719758	0.991246795	3.113823858	1.09861109	0	0	0.80398215	0.716702322	0	1.444443395	5.734560958
ENSMUSG00000072258	NA	48.53165435	65.38643042	46.13463186	46.6287955	48.96503752	50.88936082	25.60193096	37.79915145	54.73799408	35.68269771	54.50935402
ENSMUSG00000072381	NA	17.35518438	51.68777957	76.40841434	47.75836339	40.64452588	34.92486737	39.35112707	51.22856879	37.11268724	12.6873285	54.85479892
ENSMUSG00000072419	NA	1.247162634	0	0	0	0	0	0.818821335	0.722679762	1.127676783	0	0
ENSMUSG00000072421	NA	3.264299396	1.982493591	2.075882572	4.394444361	4.929387253	1.666268564	3.215928599	6.4503209	4.424534333	2.88888679	12.90276216
ENSMUSG00000072423	NA	0.656306075	0	0	1.084693911	0	0.837826815	0	1.431261995	1.108137309	0	1.435869376
ENSMUSG00000072437	NA	19.61803309	14.91974068	10.40291524	14.36309648	14.99258775	15.02943331	10.30003584	17.09608114	12.16434358	15.73751297	15.79585363
ENSMUSG00000072479	NA	13.20951714	6.074791685	8.427965214	0	0	11.96272526	7.06310816	0	0	0	0
ENSMUSG00000072494	NA	60.91079967	29.06150183	34.45025951	33.60920548	59.68310933	34.21985915	33.6435236	39.06600658	44.82309558	52.80517388	52.44327506
ENSMUSG00000072501	NA	104.687415	51.96185801	48.13529919	0	168.5245084	122.5998742	0	103.3768709	125.5248735	0	121.5453761
ENSMUSG00000072568	NA	769.3189606	707.1014265	717.8639902	691.6229876	874.8298659	699.0758198	778.3956463	886.9944792	748.3653994	892.3810458	804.3587355
ENSMUSG00000072571	NA	200.8116814	397.3950286	423.842128	256.7295462	177.852234	191.1535116	208.1892544	186.1300716	186.2567532	185.6560569	200.0617256
ENSMUSG00000072572	NA	0.615616386	1.868572105	1.115719282	2.320372737	6.362214374	0.89394636	0	2.016495487	2.383861135	4.085594018	4.038233696
ENSMUSG00000072582	NA	145.2772731	177.5966275	178.7778405	204.6731937	156.9016158	142.5942611	175.5586848	154.3314785	117.0457677	127.1708884	131.5507662
ENSMUSG00000072596	NA	12.78742154	14.46284336	11.30015849	27.17765061	14.90816285	4.968378573	14.81693501	19.84834253	5.742149806	4.366098798	31.9409166
ENSMUSG00000072620	NA	515.7421744	639.0418912	657.8511449	658.1133452	213.7472388	390.9637768	342.4106542	276.1880882	295.1300045	354.0866746	234.2857994
ENSMUSG00000072621	NA	11.9865393	7.425314775	4.943782836	7.346246021	3.693111204	24.92355746	7.017324689	6.439842605	12.27717477	15.85378081	12.97026785
ENSMUSG00000072623	NA	36.30077471	35.01004748	35.32768197	37.43664841	46.19555464	29.37982048	32.56757175	32.05641556	46.8452375	35.50598929	76.27728006
ENSMUSG00000072640	NA	26.29736197	142.9342907	137.4078288	219.5217969	89.21267068	63.25367349	86.89840105	46.511105	44.6853332	41.31565295	94.55330518
ENSMUSG00000072647	NA	12.49224379	5.016919406	8.320442111	23.0036358	8.499336797	9.332156475	2.398048177	7.849207915	8.847413058	1.43963551	7.111438187
