NAME,DESCRIPTION,NI_V_1,NI_V_2,NI_V_4,NI_V_6,NI_V_7,I_V_1,I_V_2,I_V_3,I_V_4,I_V_5,I_V_6
ENSMUSG00000068105,NA,0,0,1.101974038,0,0,0,2.328128284,1.276333316,3.325102915,2.072897362,0
ENSMUSG00000068113,NA,1.096081964,0.758763135,0,0,0,0,0,0,0,0.788028299,0
ENSMUSG00000068114,NA,44.73703668,122.7360638,89.32376783,94.74745744,73.61792988,190.1203555,64.19511348,149.9337364,114.4648715,244.1078978,213.6084054
ENSMUSG00000068115,NA,30.36832216,20.88805849,12.96334518,22.14559935,57.02686521,34.37012539,65.22268531,70.6731667,36.3871572,32.33231626,27.56147975
ENSMUSG00000068122,NA,2.103387344,1.738986006,1.972882272,1.63641202,0.871222929,0,0.813722494,0,0,0,0
ENSMUSG00000068129,NA,2.191654643,5.426386708,10.08902141,0,26.29481012,78.90042213,59.17130311,31.15413378,152.6355916,78.89217903,151.0045014
ENSMUSG00000068130,NA,58.66950867,63.14371054,14.3268988,80.63002898,80.04838908,43.96633419,33.05748009,58.01549087,45.43898226,59.34402682,19.22376942
ENSMUSG00000068134,NA,320.5430364,308.2374658,286.1677671,394.7405953,314.8653035,280.8666632,265.0657755,361.6943236,409.8701029,333.555313,316.4811739
ENSMUSG00000068154,NA,81.52560001,74.50255937,71.77077496,76.18031361,58.8079928,39.94880918,46.64169828,69.10397225,29.26717021,37.33722311,24.62991274
ENSMUSG00000068165,NA,212.855334,242.5121189,0,304.4483152,363.9662972,395.5247195,382.2983954,123.544181,420.2837978,564.364153,477.3745001
